Date,Total_Accidents
2015-06-01,39
2015-06-02,49
2015-06-03,46
2015-06-04,28
2015-06-05,40
2015-06-06,33
2015-06-07,17
2015-06-08,42
2015-06-09,48
2015-06-10,33
2015-06-11,50
2015-06-12,42
2015-06-13,26
2015-06-14,8
2015-06-15,38
2015-06-16,42
2015-06-17,46
2015-06-18,51
2015-06-19,14
2015-06-20,23
2015-06-21,25
2015-06-22,38
2015-06-23,35
2015-06-24,10
2015-06-25,24
2015-06-26,28
2015-06-27,17
2015-06-28,16
2015-06-29,35
2015-06-30,33
2015-07-01,37
2015-07-02,43
2015-07-03,46
2015-07-04,21
2015-07-05,20
2015-07-06,33
2015-07-07,34
2015-07-08,26
2015-07-09,51
2015-07-10,32
2015-07-11,27
2015-07-12,12
2015-07-13,41
2015-07-14,43
2015-07-15,47
2015-07-16,23
2015-07-17,40
2015-07-18,26
2015-07-19,14
2015-07-20,35
2015-07-21,26
2015-07-22,37
2015-07-23,39
2015-07-24,37
2015-07-25,23
2015-07-26,25
2015-07-27,46
2015-07-28,38
2015-07-29,35
2015-07-30,41
2015-07-31,36
2015-08-01,33
2015-08-02,17
2015-08-03,46
2015-08-04,30
2015-08-05,33
2015-08-06,38
2015-08-07,41
2015-08-08,36
2015-08-09,16
2015-08-10,36
2015-08-11,38
2015-08-12,32
2015-08-13,41
2015-08-14,39
2015-08-15,27
2015-08-16,15
2015-08-17,36
2015-08-18,43
2015-08-19,41
2015-08-20,39
2015-08-21,21
2015-08-22,24
2015-08-23,25
2015-08-24,39
2015-08-25,39
2015-08-26,45
2015-08-27,44
2015-08-28,43
2015-08-29,47
2015-08-30,23
2015-08-31,21
2015-09-01,26
2015-09-02,39
2015-09-03,56
2015-09-04,46
2015-09-05,26
2015-09-06,18
2015-09-07,15
2015-09-08,36
2015-09-09,39
2015-09-10,26
2015-09-11,48
2015-09-12,25
2015-09-13,13
2015-09-14,42
2015-09-15,50
2015-09-16,38
2015-09-17,34
2015-09-18,32
2015-09-19,23
2015-09-20,23
2015-09-21,33
2015-09-22,49
2015-09-23,42
2015-09-24,34
2015-09-25,48
2015-09-26,32
2015-09-27,16
2015-09-28,45
2015-09-29,41
2015-09-30,41
2015-10-01,36
2015-10-02,47
2015-10-03,48
2015-10-04,16
2015-10-05,48
2015-10-06,34
2015-10-07,36
2015-10-08,42
2015-10-09,51
2015-10-10,27
2015-10-11,19
2015-10-12,18
2015-10-13,37
2015-10-14,33
2015-10-15,32
2015-10-16,50
2015-10-17,28
2015-10-18,35
2015-10-19,16
2015-10-20,38
2015-10-21,26
2015-10-22,36
2015-10-23,45
2015-10-24,38
2015-10-25,12
2015-10-26,54
2015-10-27,36
2015-10-28,38
2015-10-29,41
2015-10-30,37
2015-10-31,25
2015-11-01,16
2015-11-02,11
2015-11-03,38
2015-11-04,39
2015-11-05,42
2015-11-06,45
2015-11-07,25
2015-11-08,16
2015-11-09,52
2015-11-10,38
2015-11-11,45
2015-11-12,11
2015-11-13,46
2015-11-14,31
2015-11-15,17
2015-11-16,30
2015-11-17,40
2015-11-18,46
2015-11-19,42
2015-11-20,34
2015-11-21,23
2015-11-22,34
2015-11-23,24
2015-11-24,37
2015-11-25,29
2015-11-26,32
2015-11-27,45
2015-11-28,25
2015-11-29,25
2015-11-30,10
2015-12-01,54
2015-12-02,43
2015-12-03,47
2015-12-04,55
2015-12-05,30
2015-12-06,30
2015-12-07,39
2015-12-08,20
2015-12-09,46
2015-12-10,58
2015-12-11,49
2015-12-12,38
2015-12-13,33
2015-12-14,46
2015-12-15,48
2015-12-16,41
2015-12-17,32
2015-12-18,43
2015-12-19,37
2015-12-20,19
2015-12-21,42
2015-12-22,50
2015-12-23,36
2015-12-24,30
2015-12-25,18
2015-12-26,25
2015-12-27,15
2015-12-28,37
2015-12-29,42
2015-12-30,32
2015-12-31,17
2016-01-01,18
2016-01-02,16
2016-01-03,22
2016-01-04,32
2016-01-05,30
2016-01-06,25
2016-01-07,30
2016-01-08,38
2016-01-09,25
2016-01-10,22
2016-01-11,32
2016-01-12,28
2016-01-13,33
2016-01-14,30
2016-01-15,15
2016-01-16,29
2016-01-17,18
2016-01-18,39
2016-01-19,42
2016-01-20,23
2016-01-21,20
2016-01-22,9
2016-01-23,18
2016-01-24,18
2016-01-25,35
2016-01-26,36
2016-01-27,44
2016-01-28,36
2016-01-29,23
2016-01-30,18
2016-01-31,13
2016-02-01,38
2016-02-02,29
2016-02-03,29
2016-02-04,29
2016-02-05,18
2016-02-06,24
2016-02-07,12
2016-02-08,14
2016-02-09,15
2016-02-10,23
2016-02-11,26
2016-02-12,41
2016-02-13,30
2016-02-14,14
2016-02-15,50
2016-02-16,43
2016-02-17,27
2016-02-18,32
2016-02-19,32
2016-02-20,20
2016-02-21,15
2016-02-22,33
2016-02-23,19
2016-02-24,30
2016-02-25,40
2016-02-26,40
2016-02-27,27
2016-02-28,13
2016-02-29,35
2016-03-01,34
2016-03-02,44
2016-03-03,33
2016-03-04,11
2016-03-05,30
2016-03-06,24
2016-03-07,33
2016-03-08,32
2016-03-09,43
2016-03-10,12
2016-03-11,36
2016-03-12,39
2016-03-13,12
2016-03-14,38
2016-03-15,33
2016-03-16,31
2016-03-17,39
2016-03-18,31
2016-03-19,22
2016-03-20,12
2016-03-21,49
2016-03-22,4
2016-03-23,49
2016-03-24,39
2016-03-25,14
2016-03-26,17
2016-03-27,8
2016-03-28,34
2016-03-29,7
2016-03-30,28
2016-03-31,10
2016-04-01,3
2016-04-02,16
2016-04-03,20
2016-04-04,26
2016-04-05,30
2016-04-06,40
2016-04-07,25
2016-04-08,36
2016-04-09,34
2016-04-10,14
2016-04-11,35
2016-04-12,27
2016-04-13,41
2016-04-14,36
2016-04-15,36
2016-04-16,31
2016-04-17,19
2016-04-18,40
2016-04-19,41
2016-04-20,44
2016-04-21,16
2016-04-22,20
2016-04-23,19
2016-04-24,17
2016-04-25,49
2016-04-26,31
2016-04-27,34
2016-04-28,42
2016-04-29,44
2016-04-30,27
2016-05-01,23
2016-05-02,44
2016-05-03,40
2016-05-04,28
2016-05-05,44
2016-05-06,40
2016-05-07,29
2016-05-08,23
2016-05-09,17
2016-05-10,38
2016-05-11,32
2016-05-12,36
2016-05-13,39
2016-05-14,24
2016-05-15,12
2016-05-16,41
2016-05-17,32
2016-05-18,37
2016-05-19,28
2016-05-20,29
2016-05-21,25
2016-05-22,12
2016-05-23,33
2016-05-24,34
2016-05-25,32
2016-05-26,26
2016-05-27,42
2016-05-28,26
2016-05-29,29
2016-05-30,13
2016-05-31,36
2016-06-01,51
2016-06-02,27
2016-06-03,39
2016-06-04,21
2016-06-05,21
2016-06-06,40
2016-06-07,38
2016-06-08,31
2016-06-09,43
2016-06-10,32
2016-06-11,32
2016-06-12,18
2016-06-13,31
2016-06-14,42
2016-06-15,30
2016-06-16,35
2016-06-17,45
2016-06-18,29
2016-06-19,13
2016-06-20,34
2016-06-21,35
2016-06-22,42
2016-06-23,30
2016-06-24,13
2016-06-25,12
2016-06-26,3
2016-06-27,24
2016-06-28,39
2016-06-29,35
2016-06-30,46
2016-07-01,35
2016-07-02,27
2016-07-03,12
2016-07-04,26
2016-07-05,15
2016-07-06,45
2016-07-07,35
2016-07-08,31
2016-07-09,30
2016-07-10,20
2016-07-11,42
2016-07-12,38
2016-07-13,35
2016-07-14,33
2016-07-15,34
2016-07-16,23
2016-07-17,13
2016-07-18,28
2016-07-19,37
2016-07-20,34
2016-07-21,28
2016-07-22,41
2016-07-23,24
2016-07-24,23
2016-07-25,29
2016-07-26,28
2016-07-27,27
2016-07-28,29
2016-07-29,36
2016-07-30,32
2016-07-31,17
2016-08-01,36
2016-08-02,34
2016-08-03,23
2016-08-04,28
2016-08-05,38
2016-08-06,35
2016-08-07,12
2016-08-08,37
2016-08-09,43
2016-08-10,38
2016-08-11,35
2016-08-12,40
2016-08-13,18
2016-08-14,17
2016-08-15,38
2016-08-16,31
2016-08-17,39
2016-08-18,41
2016-08-19,29
2016-08-20,27
2016-08-21,18
2016-08-22,39
2016-08-23,38
2016-08-24,40
2016-08-25,44
2016-08-26,40
2016-08-27,30
2016-08-28,24
2016-08-29,42
2016-08-30,29
2016-08-31,39
2016-09-01,29
2016-09-02,40
2016-09-03,33
2016-09-04,18
2016-09-05,24
2016-09-06,40
2016-09-07,21
2016-09-08,34
2016-09-09,47
2016-09-10,30
2016-09-11,24
2016-09-12,42
2016-09-13,32
2016-09-14,29
2016-09-15,38
2016-09-16,29
2016-09-17,27
2016-09-18,28
2016-09-19,34
2016-09-20,31
2016-09-21,34
2016-09-22,27
2016-09-23,24
2016-09-24,29
